ID_Elemento;Nombre;Manzana_Bloque;Tipologia;Area_m2;Dimensiones;Precio_S/;Distancia_Oasis_m;Distancia_Cochera_m;Estado
L125;Lote 125;M12;Lote Tiny House;238,29;12.58m x 19.19m;28595;34;79;Disponible
L126;Lote 126;M12;Lote Tiny House;238,63;12.59m x 19.15m;28636;33;66;Separado
L127;Lote 127;M12;Lote Tiny House;239,39;12.59m x 19.15m;28727;34;53;Disponible
L128;Lote 128;M12;Lote Tiny House;240,78;12.59m x 19.22m;28894;34;41;Disponible
L129;Lote 129;M12;Lote Tiny House;242,69;12.59m x 19.34m;29123;35;28;Disponible
L130;Lote 130;M12;Lote Tiny House;245,02;12.59m x 19.50m;29402;35;15;Disponible
L131;Lote 131;M13;Lote Premium (Oasis);230,11;12.20m x 18.93m;39119;3;57;Disponible
L132;Lote 132;M13;Lote Premium (Oasis);229,44;12.20m x 18.91m;39005;1;63;Disponible
L133;Lote 133;M13;Lote Premium (Oasis);228,94;12.20m x 18.90m;38920;1;70;Disponible
L134;Lote 134;M13;Lote Premium (Oasis);229,10;12.22m x 18.93m;38947;1;78;Disponible
L135;Lote 135;M13;Lote Premium (Oasis);229,10;12.22m x 18.98m;38947;1;87;Disponible
L136;Lote 136;M13;Lote Premium (Oasis);229,42;12.22m x 19.05m;39001;3;97;Disponible
L137;Lote 137;M13;Lote Premium (Oasis);230,10;12.22m x 19.15m;39117;5;107;Separado
L138;Lote 138;M14;Lote Premium (Oasis);230,01;12.09m x 19.29m;39102;8;122;Disponible
L139;Lote 139;M14;Lote Premium (Oasis);232,13;12.10m x 19.34m;39462;8;133;Disponible
L140;Lote 140;M14;Lote Premium (Oasis);232,44;12.10m x 19.37m;39515;8;144;Disponible
L141;Lote 141;M14;Lote Premium (Oasis);232,75;12.10m x 19.39m;39568;8;145;Disponible
L142;Lote 142;M14;Lote Premium (Oasis);233,07;12.10m x 19.42m;39622;8;145;Disponible
L143;Lote 143;M14;Lote Premium (Oasis);233,39;12.10m x 19.45m;39676;8;145;Disponible
L144;Lote 144;M14;Lote Premium (Oasis);233,71;12.10m x 19.47m;39731;8;145;Disponible
L145;Lote 145;M14;Lote Premium (Oasis);234,02;12.10m x 19.50m;39783;8;145;Disponible
L146;Lote 146;M14;Lote Premium (Oasis);234,33;12.10m x 19.52m;39836;8;145;Disponible
L147;Lote 147;M14;Lote Premium (Oasis);234,64;12.10m x 19.55m;39889;9;133;Disponible
L148;Lote 148;M15;Lote Premium (Oasis);244,74;12.55m x 19.55m;41606;8;116;Disponible
L149;Lote 149;M15;Lote Premium (Oasis);244,53;12.56m x 19.51m;41570;6;103;Disponible
L150;Lote 150;M15;Lote Premium (Oasis);243,68;12.56m x 19.45m;41426;4;91;Vendido
L151;Lote 151;M15;Lote Premium (Oasis);242,92;12.56m x 19.42m;41296;3;78;Disponible
L152;Lote 152;M15;Lote Premium (Oasis);242,60;12.57m x 19.41m;41242;3;65;Disponible
L153;Lote 153;M15;Lote Premium (Oasis);242,25;12.57m x 19.43m;41182;3;53;Separado
L154;Lote 154;M15;Lote Premium (Oasis);242,20;12.57m x 19.47m;41174;3;40;Disponible
L155;Lote 155;M15;Lote Premium (Oasis);242,49;12.57m x 19.55m;41223;4;28;Disponible
L156;Lote 156;M15;Lote Premium (Oasis);243,17;12.57m x 19.64m;41339;5;15;Disponible
L157;Lote 157;M16;Lote Premium (Oasis);229,97;12.20m x 18.93m;39095;11;39;Disponible
L158;Lote 158;M16;Lote Premium (Oasis);229,39;12.20m x 18.91m;38996;11;49;Disponible
L159;Lote 159;M16;Lote Premium (Oasis);229,03;12.20m x 18.90m;38935;10;59;Disponible
L160;Lote 160;M16;Lote Premium (Oasis);229,40;12.22m x 18.93m;38998;10;71;Disponible
L161;Lote 161;M16;Lote Premium (Oasis);229,63;12.22m x 18.98m;39037;11;82;Disponible
L162;Lote 162;M16;Lote Premium (Oasis);230,19;12.22m x 19.05m;39132;11;94;Disponible
L163;Lote 163;M16;Lote Premium (Oasis);231,06;12.22m x 19.15m;39280;12;106;Disponible
L164;Lote 164;M17;Lote Premium (Oasis);230,91;12.10m x 19.29m;39255;13;123;Disponible
L165;Lote 165;M17;Lote Premium (Oasis);232,43;12.10m x 19.34m;39513;14;135;Disponible
L166;Lote 166;M17;Lote Premium (Oasis);232,74;12.10m x 19.37m;39566;14;145;Disponible
L167;Lote 167;M17;Lote Premium (Oasis);233,05;12.10m x 19.39m;39618;14;145;Disponible
L168;Lote 168;M17;Lote Premium (Oasis);233,36;12.10m x 19.42m;39671;14;145;Disponible
L169;Lote 169;M17;Lote Premium (Oasis);233,69;12.10m x 19.45m;39727;14;145;Disponible
L170;Lote 170;M17;Lote Premium (Oasis);234,00;12.10m x 19.47m;39780;14;145;Disponible
L171;Lote 171;M17;Lote Premium (Oasis);234,32;12.10m x 19.50m;39834;14;145;Disponible
L172;Lote 172;M17;Lote Premium (Oasis);234,63;12.10m x 19.52m;39887;14;145;Disponible
L173;Lote 173;M17;Lote Premium (Oasis);234,94;12.10m x 19.55m;39940;14;133;Disponible
L174;Lote 174;M18;Lote Premium (Oasis);244,83;12.57m x 19.55m;41621;14;116;Disponible
L175;Lote 175;M18;Lote Premium (Oasis);244,47;12.57m x 19.51m;41560;13;103;Disponible
L176;Lote 176;M18;Lote Premium (Oasis);243,65;12.57m x 19.45m;41420;12;91;Disponible
L177;Lote 177;M18;Lote Premium (Oasis);242,98;12.57m x 19.42m;41307;11;78;Disponible
L178;Lote 178;M18;Lote Premium (Oasis);242,79;12.58m x 19.41m;41274;11;65;Disponible
L179;Lote 179;M18;Lote Premium (Oasis);242,64;12.58m x 19.43m;41249;11;53;Disponible
L180;Lote 180;M18;Lote Premium (Oasis);242,83;12.58m x 19.47m;41281;11;40;Disponible
L181;Lote 181;M18;Lote Premium (Oasis);243,38;12.58m x 19.55m;41375;11;28;Disponible
L182;Lote 182;M18;Lote Premium (Oasis);244,28;12.58m x 19.64m;41528;12;15;Disponible
L183;Lote 183;M19;Lote Estándar;229,90;12.20m x 18.93m;27588;38;26;Disponible
L184;Lote 184;M19;Lote Estándar;229,38;12.20m x 18.91m;27526;38;38;Disponible
L185;Lote 185;M19;Lote Estándar;229,10;12.20m x 18.90m;27492;37;50;Disponible
L186;Lote 186;M19;Lote Estándar;229,56;12.23m x 18.93m;27547;37;63;Disponible
L187;Lote 187;M19;Lote Estándar;229,90;12.23m x 18.98m;27588;37;75;Disponible
L188;Lote 188;M19;Lote Estándar;230,56;12.23m x 19.05m;27667;38;87;Disponible
L189;Lote 189;M19;Lote Estándar;231,52;12.22m x 19.15m;27782;38;99;Disponible
L190;Lote 190;M20;Lote Zen;231,34;12.11m x 19.29m;27761;40;117;Disponible
L191;Lote 191;M20;Lote Zen;232,59;12.11m x 19.34m;27911;41;129;Disponible
L192;Lote 192;M20;Lote Zen;232,90;12.11m x 19.37m;27948;41;141;Disponible
L193;Lote 193;M20;Lote Zen;233,21;12.11m x 19.39m;27985;41;145;Disponible
L194;Lote 194;M20;Lote Zen;233,52;12.11m x 19.42m;28022;41;145;Disponible
L195;Lote 195;M20;Lote Zen;233,85;12.11m x 19.45m;28062;41;145;Disponible
L196;Lote 196;M20;Lote Zen;234,16;12.11m x 19.47m;28099;41;145;Disponible
L197;Lote 197;M20;Lote Zen;234,47;12.11m x 19.50m;28136;41;145;Disponible
L198;Lote 198;M20;Lote Zen;234,78;12.11m x 19.52m;28174;41;145;Disponible
L199;Lote 199;M20;Lote Zen;235,10;12.11m x 19.55m;28212;41;134;Disponible
L200;Lote 200;M21;Lote Estándar;244,88;12.57m x 19.55m;29386;42;116;Disponible
L201;Lote 201;M21;Lote Estándar;244,44;12.57m x 19.51m;29333;41;104;Disponible
L202;Lote 202;M21;Lote Estándar;243,65;12.57m x 19.45m;29238;40;91;Disponible
L203;Lote 203;M21;Lote Estándar;243,02;12.57m x 19.42m;29162;39;78;Disponible
L204;Lote 204;M21;Lote Estándar;242,91;12.59m x 19.41m;29149;38;65;Disponible
L205;Lote 205;M21;Lote Estándar;242,86;12.59m x 19.43m;29143;38;53;Disponible
L206;Lote 206;M21;Lote Estándar;243,16;12.59m x 19.47m;29179;38;40;Disponible
L207;Lote 207;M21;Lote Estándar;243,82;12.59m x 19.55m;29258;39;28;Disponible
L208;Lote 208;M21;Lote Estándar;244,82;12.59m x 19.64m;29378;39;15;Disponible
L209;Lote 209;M22;Lote Tiny House;114,93;12.20m x 9.47m;13792;61;26;Disponible
L210;Lote 210;M22;Lote Tiny House;114,69;12.20m x 9.45m;13763;60;36;Disponible
L211;Lote 211;M22;Lote Tiny House;114,58;12.20m x 9.45m;13750;59;47;Disponible
L212;Lote 212;M22;Lote Tiny House;114,85;12.23m x 9.46m;13782;59;58;Disponible
L213;Lote 213;M22;Lote Tiny House;115,06;12.23m x 9.49m;13807;59;70;Disponible
L214;Lote 214;M22;Lote Tiny House;115,43;12.23m x 9.53m;13852;60;82;Disponible
L215;Lote 215;M22;Lote Tiny House;115,95;12.23m x 9.57m;13914;60;94;Disponible
L216;Lote 216;M22;Lote Tiny House;114,92;12.20m x 9.47m;13790;70;20;Disponible
L217;Lote 217;M22;Lote Tiny House;114,69;12.20m x 9.45m;13763;69;31;Disponible
L218;Lote 218;M22;Lote Tiny House;114,60;12.20m x 9.45m;13752;69;42;Disponible
L219;Lote 219;M22;Lote Tiny House;114,88;12.23m x 9.46m;13786;69;55;Disponible
L220;Lote 220;M22;Lote Tiny House;115,11;12.23m x 9.49m;13813;69;67;Disponible
L221;Lote 221;M22;Lote Tiny House;115,50;12.23m x 9.53m;13860;69;79;Disponible
L222;Lote 222;M22;Lote Tiny House;116,02;12.23m x 9.57m;13922;70;91;Disponible
L223;Lote 223;M23;Lote Tiny House;115,84;12.11m x 9.64m;13901;62;111;Disponible
L224;Lote 224;M23;Lote Tiny House;116,36;12.11m x 9.67m;13963;63;123;Disponible
L225;Lote 225;M23;Lote Tiny House;116,51;12.11m x 9.68m;13981;64;135;Disponible
L226;Lote 226;M23;Lote Tiny House;116,67;12.11m x 9.70m;14000;64;145;Disponible
L227;Lote 227;M23;Lote Tiny House;116,83;12.11m x 9.71m;14020;64;145;Disponible
L228;Lote 228;M23;Lote Tiny House;116,99;12.11m x 9.72m;14039;64;145;Disponible
L229;Lote 229;M23;Lote Tiny House;117,15;12.11m x 9.74m;14058;64;145;Separado
L230;Lote 230;M23;Lote Tiny House;117,30;12.11m x 9.75m;14076;64;145;Disponible
L231;Lote 231;M23;Lote Tiny House;117,46;12.11m x 9.76m;14095;64;145;Disponible
L232;Lote 232;M23;Lote Tiny House;117,61;12.11m x 9.77m;14113;64;134;Disponible
L233;Lote 233;M23;Lote Tiny House;115,91;12.11m x 9.64m;13909;71;108;Disponible
L234;Lote 234;M23;Lote Tiny House;116,39;12.11m x 9.67m;13967;73;120;Disponible
L235;Lote 235;M23;Lote Tiny House;116,54;12.11m x 9.68m;13985;73;132;Disponible
L236;Lote 236;M23;Lote Tiny House;116,70;12.11m x 9.70m;14004;73;144;Disponible
L237;Lote 237;M23;Lote Tiny House;116,85;12.11m x 9.71m;14022;74;145;Disponible
L238;Lote 238;M23;Lote Tiny House;117,02;12.11m x 9.72m;14042;74;145;Disponible
L239;Lote 239;M23;Lote Tiny House;117,17;12.11m x 9.74m;14060;74;145;Disponible
L240;Lote 240;M23;Lote Tiny House;117,33;12.11m x 9.75m;14080;74;145;Disponible
L241;Lote 241;M23;Lote Tiny House;117,49;12.11m x 9.76m;14099;74;145;Disponible
L242;Lote 242;M23;Lote Tiny House;117,64;12.11m x 9.77m;14117;74;134;Disponible
L243;Lote 243;M24;Lote Tiny House;122,46;12.58m x 9.78m;14695;64;116;Disponible
L244;Lote 244;M24;Lote Tiny House;122,21;12.58m x 9.75m;14665;64;104;Disponible
L245;Lote 245;M24;Lote Tiny House;121,82;12.58m x 9.73m;14618;62;91;Disponible
L246;Lote 246;M24;Lote Tiny House;121,53;12.58m x 9.71m;14584;62;79;Disponible
L247;Lote 247;M24;Lote Tiny House;121,50;12.59m x 9.70m;14580;61;65;Disponible
L248;Lote 248;M24;Lote Tiny House;121,52;12.59m x 9.71m;14582;61;53;Disponible
L249;Lote 249;M24;Lote Tiny House;121,71;12.59m x 9.74m;14605;61;40;Disponible
L250;Lote 250;M24;Lote Tiny House;122,09;12.59m x 9.77m;14651;61;28;Disponible
L251;Lote 251;M24;Lote Tiny House;122,62;12.59m x 9.82m;14714;62;15;Disponible
L252;Lote 252;M24;Lote Tiny House;122,47;12.58m x 9.78m;14696;74;116;Disponible
L253;Lote 253;M24;Lote Tiny House;122,20;12.58m x 9.75m;14664;73;104;Disponible
L254;Lote 254;M24;Lote Tiny House;121,82;12.58m x 9.73m;14618;72;91;Disponible
L255;Lote 255;M24;Lote Tiny House;121,54;12.58m x 9.71m;14585;71;79;Disponible
L256;Lote 256;M24;Lote Tiny House;121,53;12.59m x 9.70m;14584;71;66;Disponible
L257;Lote 257;M24;Lote Tiny House;121,56;12.59m x 9.71m;14587;70;53;Disponible
L258;Lote 258;M24;Lote Tiny House;121,77;12.59m x 9.74m;14612;71;40;Disponible
L259;Lote 259;M24;Lote Tiny House;122,16;12.59m x 9.77m;14659;71;28;Disponible
L260;Lote 260;M24;Lote Tiny House;122,71;12.59m x 9.82m;14725;72;15;Disponible
L261;Lote 261;M25;Lote Estándar;158,48;12.21m x 13.06m;19018;89;15;Disponible
L262;Lote 262;M25;Lote Estándar;158,20;12.21m x 13.04m;18984;89;27;Disponible
