Manzana;Numero de Lote;Area (m2);Tipologia;Precio (S/);Distancia Oasis (m);Distancia Cochera (m);Estado
M22;Lote 216;114,92;Lote Tiny House;13790;70;20;Disponible
M22;Lote 217;114,69;Lote Tiny House;13763;69;31;Disponible
M22;Lote 218;114,60;Lote Tiny House;13752;69;42;Disponible
M22;Lote 219;114,88;Lote Tiny House;13786;69;55;Disponible
M22;Lote 220;115,11;Lote Tiny House;13813;69;67;Disponible
M22;Lote 221;115,50;Lote Tiny House;13860;69;79;Disponible
M22;Lote 222;116,02;Lote Tiny House;13922;70;91;Disponible
M23;Lote 223;115,84;Lote Tiny House;13901;62;111;Disponible
M23;Lote 224;116,36;Lote Tiny House;13963;63;123;Disponible
M23;Lote 225;116,51;Lote Tiny House;13981;64;135;Disponible
M23;Lote 226;116,67;Lote Tiny House;14000;64;145;Disponible
M23;Lote 227;116,83;Lote Tiny House;14020;64;145;Disponible
M23;Lote 228;116,99;Lote Tiny House;14039;64;145;Disponible
M23;Lote 229;117,15;Lote Tiny House;14058;64;145;Separado
M23;Lote 230;117,30;Lote Tiny House;14076;64;145;Disponible
M23;Lote 231;117,46;Lote Tiny House;14095;64;145;Disponible
M23;Lote 232;117,61;Lote Tiny House;14113;64;134;Disponible
M23;Lote 233;115,91;Lote Tiny House;13909;71;108;Disponible
M23;Lote 234;116,39;Lote Tiny House;13967;73;120;Disponible
M23;Lote 235;116,54;Lote Tiny House;13985;73;132;Disponible
M23;Lote 236;116,70;Lote Tiny House;14004;73;144;Disponible
M23;Lote 237;116,85;Lote Tiny House;14022;74;145;Disponible
M23;Lote 238;117,02;Lote Tiny House;14042;74;145;Disponible
M23;Lote 239;117,17;Lote Tiny House;14060;74;145;Disponible
M23;Lote 240;117,33;Lote Tiny House;14080;74;145;Disponible
M23;Lote 241;117,49;Lote Tiny House;14099;74;145;Disponible
M23;Lote 242;117,64;Lote Tiny House;14117;74;134;Disponible
M24;Lote 243;122,46;Lote Tiny House;14695;64;116;Disponible
M24;Lote 244;122,21;Lote Tiny House;14665;64;104;Disponible
M24;Lote 245;121,82;Lote Tiny House;14618;62;91;Disponible
M24;Lote 246;121,53;Lote Tiny House;14584;62;79;Disponible
M24;Lote 247;121,50;Lote Tiny House;14580;61;65;Disponible
M24;Lote 248;121,52;Lote Tiny House;14582;61;53;Disponible
M24;Lote 249;121,71;Lote Tiny House;14605;61;40;Disponible
M24;Lote 250;122,09;Lote Tiny House;14651;61;28;Disponible
M24;Lote 251;122,62;Lote Tiny House;14714;62;15;Disponible
M24;Lote 252;122,47;Lote Tiny House;14696;74;116;Disponible
M24;Lote 253;122,20;Lote Tiny House;14664;73;104;Disponible
M24;Lote 254;121,82;Lote Tiny House;14618;72;91;Disponible
M24;Lote 255;121,54;Lote Tiny House;14585;71;79;Disponible
M24;Lote 256;121,53;Lote Tiny House;14584;71;66;Disponible
M24;Lote 257;121,56;Lote Tiny House;14587;70;53;Disponible
M24;Lote 258;121,77;Lote Tiny House;14612;71;40;Disponible
M24;Lote 259;122,16;Lote Tiny House;14659;71;28;Disponible
M24;Lote 260;122,71;Lote Tiny House;14725;72;15;Disponible
M25;Lote 261;158,48;Lote Estándar;19018;89;15;Disponible
M25;Lote 262;158,20;Lote Estándar;18984;89;27;Disponible
M25;Lote 263;158,11;Lote Estándar;18973;88;39;Disponible
M25;Lote 264;158,54;Lote Estándar;19025;88;52;Disponible
M25;Lote 265;158,90;Lote Estándar;19068;88;64;Disponible
M25;Lote 266;159,48;Lote Estándar;19138;88;76;Disponible
M25;Lote 267;160,24;Lote Estándar;19229;89;88;Disponible
M26;Lote 268;160,06;Lote Estándar;19207;91;105;Disponible
M26;Lote 269;160,61;Lote Estándar;19273;92;117;Disponible
M26;Lote 270;160,83;Lote Estándar;19300;93;129;Disponible
M26;Lote 271;161,04;Lote Estándar;19325;93;142;Disponible
M26;Lote 272;161,26;Lote Estándar;19351;93;145;Disponible
M26;Lote 273;161,48;Lote Estándar;19378;93;145;Disponible
M26;Lote 274;161,70;Lote Estándar;19404;94;145;Disponible
M26;Lote 275;161,91;Lote Estándar;19429;94;145;Disponible
M26;Lote 276;162,13;Lote Estándar;19456;94;145;Disponible
M26;Lote 277;162,35;Lote Estándar;19482;94;134;Disponible
M27;Lote 278;168,95;Lote Estándar;20274;94;116;Disponible
M27;Lote 279;168,54;Lote Estándar;20225;93;104;Disponible
M27;Lote 280;168,04;Lote Estándar;20165;92;91;Disponible
M27;Lote 281;167,67;Lote Estándar;20120;91;79;Disponible
M27;Lote 282;167,69;Lote Estándar;20123;91;66;Disponible
M27;Lote 283;167,78;Lote Estándar;20134;90;53;Disponible
M27;Lote 284;168,12;Lote Estándar;20174;90;41;Disponible
M27;Lote 285;168,70;Lote Estándar;20244;91;28;Disponible
M27;Lote 286;169,50;Lote Estándar;20340;91;15;Disponible
M28;Lote 287;229,76;Lote Ajuste (Irregular);27571;114;16;Disponible
M28;Lote 288;229,41;Lote Ajuste (Irregular);27529;113;28;Disponible
M28;Lote 289;229,34;Lote Ajuste (Irregular);27521;112;40;Disponible
M28;Lote 290;230,05;Lote Ajuste (Irregular);27606;112;52;Disponible
M28;Lote 291;230,65;Lote Ajuste (Irregular);27678;112;65;Disponible
M28;Lote 292;231,55;Lote Ajuste (Irregular);27786;112;76;Separado
M28;Lote 293;232,70;Lote Ajuste (Irregular);27924;113;88;Disponible
M29;Lote 294;232,41;Lote Ajuste (Irregular);27889;115;105;Disponible
M29;Lote 295;233,04;Lote Ajuste (Irregular);27965;116;117;Disponible
M29;Lote 296;233,35;Lote Ajuste (Irregular);28002;118;129;Disponible
M29;Lote 297;233,66;Lote Ajuste (Irregular);28039;118;141;Disponible
M29;Lote 298;233,97;Lote Ajuste (Irregular);28076;118;145;Disponible
M29;Lote 299;234,30;Lote Ajuste (Irregular);28116;118;145;Disponible
M29;Lote 300;234,61;Lote Ajuste (Irregular);28153;118;145;Disponible
M29;Lote 301;234,92;Lote Ajuste (Irregular);28190;118;145;Disponible
M29;Lote 302;235,23;Lote Ajuste (Irregular);28228;119;145;Disponible
M29;Lote 303;235,55;Lote Ajuste (Irregular);28266;119;134;Disponible
M30;Lote 304;245,03;Lote Ajuste (Irregular);29404;119;116;Disponible
M30;Lote 305;244,36;Lote Ajuste (Irregular);29323;118;104;Disponible
M30;Lote 306;243,66;Lote Ajuste (Irregular);29239;117;91;Disponible
M30;Lote 307;243,19;Lote Ajuste (Irregular);29183;116;79;Disponible
M30;Lote 308;243,28;Lote Ajuste (Irregular);29194;115;66;Disponible
M30;Lote 309;243,49;Lote Ajuste (Irregular);29219;115;53;Disponible
M30;Lote 310;244,06;Lote Ajuste (Irregular);29287;115;41;Disponible
M30;Lote 311;244,98;Lote Ajuste (Irregular);29398;115;28;Disponible
M30;Lote 312;246,20;Lote Ajuste (Irregular);29544;116;16;Disponible
